location,capital,stock,start_month,days
北,3000000,0,4,167
北,1000000,0,4,156
北,3000000,0,4,155
北,2000000,0,4,157
中,1000000,0,4,163
北,1000000,0,4,154
中,500000,0,4,165
北,200000,0,4,156
北,1000000,0,4,142
北,895000,0,4,155
南,100000,0,4,161
北,5000000,1,4,149
北,1000000,0,4,154
中,200000,0,4,158
中,200000,0,4,160
中,1000000,0,4,136
北,300000,0,4,151
北,100000,0,4,155
北,5000000,0,4,128
北,300000,0,4,144
北,500000,0,5,122
北,520000,1,5,138
北,2101000,0,5,119
北,2000000,0,5,137
南,1000000,0,5,117
北,300000,0,5,127
北,500000,0,5,131
南,500000,0,5,120
北,2000000,1,5,104
北,2000000,0,5,104
北,250000,0,5,123
北,100000,0,5,125
北,500000,0,5,100
北,2000000,0,5,106
北,1000000,0,5,116
北,1200000,0,6,90
中,1000000,0,6,109
南,1000000,0,6,102
北,1000000,0,6,103
北,300000,0,6,83
中,200000,0,6,104
北,50000,0,6,95
北,25000000,1,6,73
中,250000,0,7,82
中,2000000,0,7,79
南,80000,0,7,59
南,2000000,1,7,53
北,5000000,1,7,74
北,5000000,0,7,57
中,230000,0,7,55
北,7200000,1,7,58
北,50000,0,7,40
南,1000000,0,8,41
中,500000,0,8,33
北,1000000,0,8,33
北,100000,0,8,26
南,50000000,0,8,15
北,100000,0,8,36
北,200000,0,8,17
北,300000,0,8,7
北,1000000,1,8,23
北,500000,0,8,8
北,2000000,0,1,271
南,2000000,0,1,266
北,500000,0,1,286
北,100000,0,1,293
北,1000000,0,1,276
北,100000,0,1,269
北,200000,0,1,264
南,200000,0,1,261
北,1700000,0,1,275
北,1000000,0,1,260
北,200000,0,1,269
北,4500000,0,1,267
南,1000000,0,1,273
北,1000000,0,1,282
北,1000000,0,1,260
中,2000000,0,2,247
北,2500000,0,2,269
北,800000,0,2,247
中,600000,0,2,239
南,500000,0,2,265
北,100000,0,2,261
南,3000000,1,2,252
中,5000000,1,2,238
北,2000000,0,2,247
北,500000,0,2,243
南,3000000,1,2,251
南,1000000,1,2,230
北,150000,0,2,232
北,5000000,1,2,232
南,100000,0,2,244
南,1000000,0,3,234
北,4000000,0,3,225
中,1000000,0,3,209
北,500000,0,3,228
北,1000000,0,3,223
南,1000000,1,3,222
北,100000,0,3,211
北,3000000,0,3,223
中,200000,0,3,206
北,300000,0,3,211
北,30000,0,3,225
北,500000,0,3,211
中,50000,0,3,222
北,5000000,0,3,217
北,1000000,0,3,196
北,1000000,0,3,198
北,1000000,0,3,198
南,200000,0,3,205
北,300000,0,3,211
中,105888,0,3,189
南,1000000,0,3,215
南,200000,0,3,213
中,500000,0,4,202
北,500000,0,4,182
中,100000,0,4,184
中,1000000,0,4,198
北,10000000,1,4,178
北,100000,0,4,190
北,1800000,0,4,182
南,100000,0,4,175
南,10000000,1,4,187
北,8400000,0,4,189
北,1000000,0,4,194
北,150000,0,4,171
北,1500000,0,4,181
北,10000000,0,4,182
中,1000000,0,4,175
北,83000,0,4,187
北,2000000,0,4,182
北,2700000,0,4,181
北,5000000,0,4,183
北,1000000,0,4,175
北,100000,0,4,182
中,400000,0,4,169
北,10000,0,5,171
北,1000000,0,5,164
北,29900000,1,5,168
北,500000,0,5,169
中,2500000,0,5,148
中,500000,0,5,155
中,1000000,1,5,135
北,2000000,0,5,132
北,5000000,0,5,136
北,1000000,0,5,145
北,380000,0,5,142
北,500000,0,5,154
北,100000,0,6,121
北,300000,0,6,146
北,850000,0,6,130
北,1000000,0,6,130
北,1000000,0,6,115
南,500000,0,6,127
北,2000000,1,6,140
北,100000,0,6,128
北,500000,0,6,118
北,1000000,0,6,133
中,200000,0,6,133
北,1000000,0,6,100
北,100000,0,6,118
南,2000000,0,6,111
北,500000,1,6,111
中,100000,0,6,126
中,3000000,1,6,98
中,20000,0,7,107
東,5000000,1,7,99
東,5000000,1,7,99
北,6000000,0,7,84
北,2000000,1,7,106
中,500000,0,7,98
北,500000,0,7,78
中,200000,0,7,86
北,500000,0,7,90
中,1000000,0,7,96
北,100000,0,7,88
中,500000,1,7,94
北,100000,0,7,81
北,50000,0,7,66
北,12000000,1,8,70
北,550000,0,8,84
北,1000000,0,8,60
北,200000,0,8,51
北,50000,0,8,54
北,15000000,1,8,72
北,990000,0,8,63
南,200000,0,9,49
南,20000000,0,9,39
北,1000000,0,9,41
北,3000000,0,9,38
北,1000000,0,9,31
北,1200000,0,9,22
北,600000,0,1,299
北,5000000,0,1,306
北,28000000,0,1,300
北,1000000,0,1,300
中,6000000,0,1,306
北,2000000,0,1,285
北,150000,0,1,302
中,1000000,0,1,308
中,500000,0,1,280
北,1000000,0,1,295
北,13888,0,1,279
北,680000,1,1,283
北,40000,0,2,281
北,1000000,0,2,267
北,6000000,0,2,269
南,20000,0,2,279
北,400000,0,2,284
北,1000000,0,2,281
北,500000,0,2,281
北,100000,0,2,273
北,1000000,1,2,281
北,1000000,0,2,267
中,500000,0,2,279
北,5000000,0,2,252
南,6000000,0,3,269
北,1150000,0,3,272
中,1000000,0,3,244
北,1000000,1,3,257
中,500000,0,3,250
中,400000,0,3,253
北,3000000,0,3,256
中,1000000,0,3,233
北,1000000,0,3,241
北,1000000,1,3,240
北,1000000,1,3,245
北,1000000,0,3,230
北,1500000,0,3,243
中,50000,0,3,235
北,50000,1,3,244
北,300000,1,3,242
中,2000000,0,3,245
其他,1000000,0,3,242
北,1000000,0,3,230
北,300000,0,4,216
北,400000,0,4,216
北,500000,0,4,229
中,20000000,1,4,222
中,1000000,0,4,222
北,200000,0,4,231
北,57000,0,4,213
北,600000,0,4,226
北,1800000,1,4,203
南,1000000,0,4,195
北,38500000,1,4,222
北,650000,0,4,221
北,6000000,0,4,218
中,200000,0,4,212
北,100000,0,4,194
南,200000,0,4,217
中,100000,0,4,195
中,300000,0,4,190
南,500000,0,4,188
中,1750000,0,5,185
北,200000,0,5,197
南,200000,0,5,176
北,500000,0,5,190
中,23000000,1,5,188
北,1000000,0,5,186
北,1000000,1,5,186
北,500000,0,5,175
北,1000000,0,5,175
中,40000000,1,5,182
北,100000,0,5,187
北,10000000,1,5,172
北,1000000,0,5,172
北,600000,1,6,166
南,3000000,0,6,168
中,100000,0,6,174
北,1000000,0,6,165
南,3000000,1,6,162
北,1000000,0,6,149
中,1000000,0,6,163
北,200000,0,6,146
南,1000000,0,6,156
北,1500000,0,6,166
北,5000000,1,6,161
中,1000000,0,6,158
中,500000,0,6,165
中,500000,0,6,148
南,200000,0,6,140
北,500000,0,6,148
北,1000000,0,6,148
北,300000,0,6,155
北,500000,0,6,134
北,3000000,0,6,146
北,400000,0,6,133
北,10000000,1,6,157
中,500000,0,7,144
北,2000000,1,7,144
南,100000,0,7,138
中,600000,0,7,125
南,2000000,0,7,132
北,100000,0,7,138
北,600000,0,7,122
南,2000000,0,7,126
中,5000000,0,7,118
南,100000,0,7,126
南,50000,0,7,116
